name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
久我山,300,58,41,72,143,503,1135,1368,1053,1786,1607,1143,813,400,86,323,718,57,32,118,49,22,32,0,49,32,578
三鷹台,301,62,111,82,307,206,824,910,1759,1911,1823,1142,1461,482,156,32,64,220,434,278,0,0,0,197,164,22,87
井の頭公園,302,0,0,53,222,415,649,391,375,255,213,663,553,193,137,91,0,42,751,58,0,0,0,0,0,0,0
南新宿,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
参宮橋,304,0,0,21,79,0,24,0,24,238,242,112,144,119,26,0,24,0,0,0,0,0,0,0,0,0,0
代々木八幡,305,0,0,0,0,22,41,195,80,130,15,42,0,0,0,0,0,20,5,0,140,0,0,0,0,0,30
代々木上原,306,236,267,274,1504,3213,3374,7021,8269,10368,11188,9643,7582,5040,4639,3691,2222,1148,692,1053,672,1235,259,349,1186,665,2448
東北沢,307,0,0,0,0,0,0,0,0,0,59,36,22,22,0,0,181,23,0,0,0,0,0,0,0,0,0
世田谷代田,308,0,0,0,0,32,27,205,456,245,389,682,59,0,0,56,56,0,0,65,0,0,0,0,0,107,107
梅ケ丘,309,0,0,0,21,143,136,255,261,358,1089,784,340,126,458,0,0,0,0,0,0,0,0,0,0,0,61
豪徳寺,310,0,0,22,58,47,125,270,920,1258,555,417,74,54,21,358,449,15,0,58,84,0,0,0,0,0,50
経堂,311,152,40,92,707,460,1094,1170,2427,1794,1304,1464,1446,724,375,682,200,74,53,108,47,51,17,0,45,34,181
千歳船橋,312,69,29,42,126,475,1063,961,785,677,1732,1732,1354,1033,984,412,132,73,92,74,49,0,0,65,0,0,79
祖師ケ谷大蔵,313,0,67,317,378,328,340,833,1021,679,1062,1582,711,285,73,41,324,0,213,0,697,762,17,0,0,0,170
成城学園前,314,210,164,568,678,1307,1900,3035,4523,4836,2889,2543,1926,1174,992,1005,287,540,459,972,136,0,25,179,89,81,843
喜多見,315,0,0,261,338,318,428,676,778,769,457,552,60,173,154,137,0,47,70,38,18,38,0,0,0,33,56
狛江,316,0,97,86,270,395,924,1647,1848,2061,1490,603,543,509,489,47,328,0,357,371,268,0,0,36,0,68,199
和泉多摩川,317,0,0,153,368,125,237,676,702,464,297,357,680,56,35,68,37,147,0,0,0,0,0,0,0,39,0
鶴川,318,278,540,1330,808,1437,2000,3453,4310,2793,1521,1733,1369,512,377,181,96,57,114,96,53,237,294,246,271,92,206
玉川学園前,319,137,0,45,424,432,1052,1382,1962,1500,1147,850,670,275,212,141,236,436,168,446,78,0,0,12,19,66,290
小田急永山,320,0,0,252,27,56,72,584,673,650,255,822,131,150,105,0,101,0,17,0,60,0,0,0,0,0,131
小田急多摩センター,321,18,52,140,405,372,837,824,2114,1781,513,509,120,221,49,0,196,325,179,81,0,0,16,0,0,85,326
唐木田,322,0,22,16,266,836,301,453,676,140,411,142,25,153,37,29,0,0,0,0,0,0,0,0,0,0,0
代官山,323,0,0,0,0,0,0,21,21,0,95,0,56,0,18,0,0,98,0,0,0,0,0,0,0,0,0
中目黒,324,65,143,674,1076,2546,3549,8169,8031,6846,7702,8473,7403,5299,3234,2843,1998,946,581,621,179,194,139,190,174,247,988
祐天寺,325,141,0,140,157,46,831,692,635,550,317,405,809,264,45,211,117,47,70,0,0,0,0,0,0,0,0
学芸大学,326,58,39,166,329,540,680,1450,1759,1924,2174,1662,880,786,902,759,263,61,466,0,64,61,317,90,85,0,477
都立大学,327,114,112,0,137,592,787,1078,897,1901,1125,1658,928,461,894,212,28,439,338,175,122,45,110,65,0,53,486
自由が丘,328,331,406,324,939,2988,3948,6297,5929,7901,8938,7300,5540,3968,2569,2168,887,756,624,1000,655,522,293,535,646,120,3305
田園調布,329,0,0,0,365,511,545,403,640,601,473,786,428,173,371,117,77,0,0,124,0,46,0,0,0,0,68
多摩川,330,134,250,209,334,734,1948,2749,4872,3469,5019,2656,2553,2235,343,485,1074,315,306,618,41,185,91,55,0,0,398
