name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
是政,224,332,1,1,12,18,15,56,79,77,65,100,90,37,21,15,10,6,4,15,3,1,4,4,5,0,3,14
京成上野,225,2308,2,0,0,0,5,12,29,54,60,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
新三河島,226,274,2,0,0,0,5,12,29,54,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
町屋,227,1935,9,0,6,17,18,28,83,100,74,93,56,43,30,25,8,21,0,0,2,0,0,0,6,1,0,4
千住大橋,228,703,3,0,0,23,37,25,59,78,100,93,66,33,29,18,7,13,27,2,1,3,1,0,0,0,0,8
京成関屋,229,1132,3,0,0,23,37,25,59,79,100,93,65,34,28,18,7,13,28,3,1,3,1,0,0,0,0,9
堀切菖蒲園,230,1002,3,0,0,23,37,25,58,79,100,93,65,33,29,18,7,13,27,2,1,3,1,0,0,0,0,8
お花茶屋,231,1496,3,1,1,23,37,25,59,79,100,92,65,33,29,18,7,13,27,3,1,3,1,1,0,0,1,9
青砥,232,9910,4,8,8,19,35,49,72,100,81,96,54,34,27,16,13,14,3,6,2,1,0,1,0,1,6,27
京成高砂,233,7676,6,3,8,13,33,59,97,81,100,76,53,36,11,14,11,6,2,0,0,0,0,0,0,4,11,11
京成小岩,234,826,3,0,0,23,38,26,59,79,100,93,65,34,29,19,7,13,27,3,1,3,1,0,0,0,0,8
江戸川,235,273,3,0,0,23,38,26,58,79,100,93,65,34,28,19,7,13,27,2,1,3,1,0,0,0,0,8
京成曳舟,236,856,3,0,0,23,37,25,58,78,100,92,66,33,28,19,7,13,27,2,1,3,1,0,0,0,0,8
八広,237,550,4,0,0,24,38,26,59,79,100,93,66,34,28,18,8,14,28,2,2,4,2,0,0,0,0,8
四ツ木,238,733,3,0,0,23,37,25,58,78,100,92,65,33,28,18,7,13,27,3,1,3,1,0,0,0,0,9
京成立石,239,1748,3,1,1,23,37,25,59,79,100,93,65,33,29,18,7,13,27,3,1,3,1,1,0,0,1,8
柴又,240,431,3,0,0,23,37,25,58,78,100,93,65,33,29,19,7,13,27,3,1,3,1,0,0,0,0,8
京成金町,241,1137,3,0,0,23,37,25,59,78,100,93,65,33,29,18,7,13,27,2,1,3,1,0,0,0,0,8
笹塚,242,5519,2,2,2,4,18,38,43,67,100,93,92,62,67,54,39,25,22,14,6,3,2,6,3,2,1,40
代田橋,243,781,1,1,6,18,37,48,81,87,100,77,62,53,33,23,28,14,4,5,7,4,2,2,2,1,0,27
明大前,244,10218,2,0,2,7,22,33,63,91,100,89,88,67,41,25,20,22,21,22,17,5,7,4,5,10,10,35
下高井戸,245,2178,0,0,2,4,10,16,97,74,100,58,41,43,32,25,24,19,15,5,4,7,0,2,10,0,2,22
桜上水,246,2092,5,0,0,19,24,39,51,79,100,74,36,37,22,20,16,18,12,7,11,0,0,0,0,0,3,17
上北沢,247,622,1,1,6,18,36,48,81,86,100,77,63,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
八幡山,248,1693,1,1,6,18,36,48,80,87,100,77,62,52,32,23,29,14,4,5,7,4,2,2,2,1,0,27
芦花公園,249,578,1,1,6,18,37,48,80,87,100,78,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
千歳烏山,250,3478,2,3,6,14,29,51,70,72,85,100,62,55,24,18,15,1,4,11,0,1,1,2,0,2,6,12
仙川,251,2309,0,0,4,6,19,59,100,52,94,45,34,41,12,24,10,9,11,3,5,1,0,1,0,0,17,30
つつじケ丘,252,4042,4,2,5,12,29,78,91,100,77,60,60,64,13,19,12,11,7,8,1,0,0,2,0,2,8,21
柴崎,253,770,1,1,11,18,15,55,78,77,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
国領,254,2342,5,1,10,12,44,51,44,100,85,31,26,30,10,6,16,0,0,2,0,0,0,3,4,0,1,2
布田,255,713,1,1,11,18,15,55,79,76,64,100,91,38,21,15,10,6,4,15,2,1,4,4,5,0,2,14
調布,256,12179,2,1,6,20,31,68,82,94,100,80,76,36,30,22,18,9,10,17,11,5,5,2,3,1,7,27
西調布,257,752,1,1,11,19,15,55,78,76,64,100,90,37,21,15,10,6,4,15,2,1,4,4,5,0,2,14
飛田給,258,1274,1,1,12,18,15,55,79,77,64,100,90,37,21,15,10,6,4,15,2,1,4,4,5,0,2,14
武蔵野台,259,1110,1,1,11,19,15,55,79,77,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
多磨霊園,260,556,1,1,11,18,15,55,78,76,64,100,91,37,21,15,10,6,4,15,2,1,4,4,5,0,2,14
東府中,261,926,1,1,11,19,15,55,79,76,64,100,90,37,20,15,11,6,4,15,3,1,4,4,5,0,3,14
府中,262,3681,1,0,9,19,28,26,35,53,44,100,25,12,7,13,6,4,5,2,6,1,0,4,0,0,0,12
中河原,263,1109,1,1,11,18,15,55,78,77,64,100,90,37,21,15,11,6,4,15,2,1,4,4,5,0,2,14
聖蹟桜ケ丘,264,3279,1,4,11,17,35,100,62,31,62,64,24,15,7,7,5,11,6,1,0,0,2,0,0,0,0,19
百草園,265,327,1,1,11,18,15,55,78,77,64,100,90,37,20,15,11,6,4,15,2,1,4,4,5,0,2,14
高幡不動,266,2756,0,1,11,21,43,64,99,96,100,55,30,38,26,23,34,14,8,1,8,47,37,15,6,0,7,27
南平,267,459,1,1,11,18,15,55,78,76,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
平山城址公園,268,364,1,1,11,18,15,55,78,76,64,100,90,37,20,15,10,6,4,15,3,1,4,4,5,0,3,14
長沼,269,185,0,4,7,9,32,49,65,75,100,43,75,47,16,11,15,17,9,8,10,3,0,0,1,0,1,15
北野,270,3651,0,3,13,30,26,73,100,58,59,81,90,65,8,16,7,10,10,17,0,12,0,3,3,0,0,8
京王八王子,271,2688,1,4,6,9,32,50,65,75,100,43,76,47,17,11,15,18,9,8,10,3,0,1,2,0,2,15
初台,272,2999,3,0,1,1,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
幡ケ谷,273,1491,3,0,1,1,5,13,29,53,59,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
京王多摩川,274,752,1,1,11,19,15,55,78,76,65,100,90,37,21,15,10,6,4,15,2,1,4,4,5,0,2,14
京王よみうりランド,275,605,1,1,11,19,15,55,79,77,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
稲城,276,918,1,1,11,18,15,55,78,77,64,100,90,37,21,15,11,6,4,15,2,1,4,4,5,0,2,14
京王永山,277,2518,2,2,7,23,57,44,24,38,100,67,32,25,15,8,6,1,2,0,0,6,5,0,0,0,0,17
京王多摩センター,278,2073,3,1,6,35,38,57,46,100,57,58,27,54,16,12,12,4,8,0,2,18,0,0,1,1,7,11
京王堀之内,279,1486,1,4,6,9,32,50,65,75,100,43,76,46,16,11,15,17,9,8,10,3,0,1,2,0,2,15
南大沢,280,1548,12,12,16,46,76,93,95,100,62,97,72,77,12,9,41,3,3,11,4,0,0,1,0,0,4,20
多摩境,281,875,1,1,12,18,15,55,78,77,64,100,90,37,21,15,10,6,4,15,2,1,4,4,5,0,2,14
府中競馬正門前,282,137,1,1,11,18,15,55,78,76,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
多摩動物公園,283,382,1,1,12,18,15,56,79,76,64,100,91,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
京王片倉,284,229,0,4,6,9,32,49,65,74,100,43,75,46,16,11,15,17,9,8,10,3,0,0,1,0,1,15
山田,285,236,0,4,6,9,33,50,66,75,100,44,76,47,16,11,15,17,9,8,11,3,0,0,1,0,1,15
めじろ台,286,782,0,4,6,9,32,50,65,75,100,43,76,47,17,11,15,17,9,8,10,3,0,0,1,0,1,15
狭間,287,360,0,4,6,9,32,50,65,75,100,43,75,46,16,11,15,17,9,8,10,3,0,0,1,0,1,15
高尾山口,288,513,0,4,7,9,32,49,65,74,100,43,76,46,16,11,15,17,9,8,10,3,0,0,1,0,1,15
神泉,289,503,2,0,0,0,5,12,30,54,60,85,100,85,54,40,24,14,8,13,7,4,1,0,0,0,1,15
駒場東大前,290,1505,1,1,6,18,37,48,80,87,100,78,62,52,33,23,28,14,4,5,7,4,2,2,2,1,0,27
池ノ上,291,380,1,1,6,18,36,48,81,87,100,77,62,52,32,23,28,15,4,5,7,4,2,2,2,1,0,27
下北沢,292,8086,1,0,4,6,26,38,70,70,91,100,82,74,41,30,22,15,35,14,10,3,2,0,0,16,8,20
新代田,293,377,1,1,6,18,36,49,81,87,100,77,63,53,32,23,28,14,4,5,7,4,2,2,2,1,0,27
東松原,294,719,1,1,6,18,36,48,80,86,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
永福町,295,1276,2,2,5,0,47,73,68,71,100,82,74,72,30,51,28,3,14,21,32,14,2,0,0,11,0,29
西永福,296,723,1,1,6,18,36,48,80,86,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
浜田山,297,1181,1,1,6,18,37,48,81,87,100,77,62,52,33,23,28,14,4,5,7,4,2,2,2,1,0,27
高井戸,298,2634,0,2,4,2,15,28,100,59,90,61,31,22,30,33,5,1,1,15,0,0,0,1,0,0,7,8
富士見ケ丘,299,536,1,1,6,18,36,48,80,87,100,77,63,52,33,23,28,14,4,5,8,4,2,2,2,1,0,27
久我山,300,1786,3,2,4,8,28,63,76,58,100,89,63,45,22,4,18,40,3,1,6,2,1,1,0,2,1,32
三鷹台,301,1937,3,5,9,15,10,47,46,95,100,94,67,77,24,9,1,3,11,22,14,0,0,0,10,8,1,4
井の頭公園,302,266,1,1,6,18,36,48,80,86,100,77,62,53,32,23,28,14,4,6,7,4,2,2,2,1,0,27
南新宿,303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
参宮橋,304,700,3,0,1,1,5,13,30,54,60,85,100,85,55,41,24,14,9,14,7,4,2,0,0,0,2,15
代々木八幡,305,926,2,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
代々木上原,306,9947,2,2,3,14,30,30,61,66,90,100,82,62,42,43,26,18,5,5,10,1,12,2,2,3,7,24
東北沢,307,272,1,1,6,18,36,48,80,86,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
世田谷代田,308,340,1,1,6,18,36,48,80,86,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
梅ケ丘,309,1301,1,1,6,18,36,48,81,87,100,78,63,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
豪徳寺,310,1084,1,1,6,18,36,48,80,86,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
経堂,311,2427,6,1,3,29,18,45,48,100,69,58,60,59,29,15,28,8,3,2,4,1,2,0,0,1,1,7
千歳船橋,312,1732,3,1,2,7,27,61,55,45,39,100,100,78,59,56,23,7,4,5,4,2,0,0,3,0,0,4
祖師ケ谷大蔵,313,1963,1,1,6,18,36,48,80,87,100,77,62,52,33,23,28,14,4,5,7,4,2,2,2,1,0,27
成城学園前,314,4478,4,0,11,11,24,40,66,100,97,59,49,41,24,19,22,6,10,13,16,0,0,0,3,1,1,18
喜多見,315,1325,1,1,6,18,36,48,80,87,100,77,62,52,32,23,28,14,4,5,8,4,2,2,2,1,0,27
狛江,316,2061,0,4,4,13,19,44,79,89,100,72,29,26,24,23,2,15,0,17,18,13,0,0,1,0,3,9
和泉多摩川,317,609,1,1,6,18,36,48,80,87,100,77,63,52,33,23,28,14,4,5,7,4,2,2,2,1,0,27
鶴川,318,4085,4,13,32,19,34,46,77,100,63,36,36,27,12,8,4,2,1,2,1,1,3,7,5,6,2,5
玉川学園前,319,1962,6,0,2,21,22,53,70,100,76,58,43,34,14,10,7,12,22,8,22,3,0,0,0,0,3,14
小田急永山,320,1332,1,1,12,18,15,55,78,77,64,100,90,37,21,15,10,6,4,15,3,1,4,4,5,0,3,14
小田急多摩センター,321,2181,1,1,12,18,15,55,79,77,64,100,91,37,20,15,11,6,4,15,2,1,4,4,5,0,2,14
唐木田,322,745,2,2,11,18,15,55,79,77,64,100,91,37,20,15,11,6,4,15,2,2,4,4,5,0,2,14
代官山,323,1449,2,0,0,0,5,12,29,53,59,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
中目黒,324,7905,0,1,7,11,29,35,100,73,76,76,89,81,54,32,30,18,8,6,5,1,2,0,2,1,2,12
祐天寺,325,1230,1,1,6,18,36,48,81,87,100,77,63,53,33,23,29,14,4,5,7,4,2,2,2,1,0,27
学芸大学,326,2174,2,1,7,15,24,31,66,80,88,100,76,40,36,41,34,12,2,21,0,2,2,14,4,3,0,21
都立大学,327,1901,5,5,0,7,31,41,56,47,100,59,87,48,24,47,11,1,23,17,9,6,2,5,3,0,2,25
自由が丘,328,7181,4,5,3,13,45,45,77,76,100,98,85,61,44,31,24,8,10,6,11,9,6,2,5,3,0,46
田園調布,329,1612,1,0,3,7,18,25,58,95,100,94,71,53,27,18,8,11,9,1,1,3,1,1,1,0,0,24
多摩川,330,5170,2,4,4,6,15,39,51,100,77,85,50,40,42,7,9,20,6,5,11,0,2,2,1,0,0,7
不動前,331,1368,1,0,3,7,19,26,57,95,100,95,72,54,27,19,8,11,9,1,1,3,1,1,1,0,0,24
武蔵小山,332,2356,1,0,3,7,19,26,58,96,100,95,72,54,27,19,8,11,9,1,1,3,1,1,1,0,0,24
西小山,333,1646,2,0,3,7,19,26,58,95,100,95,71,54,27,19,8,11,9,2,2,3,2,2,2,0,0,24
洗足,334,583,1,1,6,18,36,48,80,86,100,77,62,52,32,23,28,14,4,6,7,4,2,2,2,1,0,27
大岡山,335,2513,1,1,4,7,17,26,33,48,77,92,100,41,74,25,18,9,6,10,2,7,16,0,3,9,0,12
奥沢,336,551,1,1,6,18,37,48,80,86,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
池尻大橋,337,1932,8,0,3,10,15,23,53,59,37,56,100,40,20,32,10,17,12,6,5,0,9,0,0,0,1,16
三軒茶屋,338,4023,5,0,4,9,25,24,72,55,68,100,80,57,49,37,19,33,7,11,3,5,0,1,3,0,0,22
駒沢大学,339,1836,11,1,2,30,66,70,42,100,59,90,90,67,78,45,43,30,23,10,4,5,0,2,1,1,3,27
桜新町,340,1802,0,0,13,44,51,100,69,72,89,96,72,18,34,31,9,13,19,8,4,0,0,3,2,0,3,36
用賀,341,2078,2,1,26,28,49,87,67,85,82,100,48,30,48,19,17,13,1,1,1,5,0,0,10,0,1,24
二子玉川,342,8448,2,2,7,19,37,49,81,87,100,78,63,53,33,24,29,15,5,6,8,5,3,3,3,2,0,28
つくし野,343,501,1,1,11,18,15,55,79,77,64,100,91,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
すずかけ台,344,496,2,2,11,18,15,56,79,77,64,100,91,37,20,15,10,6,4,15,3,2,4,4,5,0,3,14
南町田,345,1284,1,1,11,19,15,55,79,77,64,100,90,37,21,15,10,6,4,15,2,1,4,4,5,0,2,14
下神明,346,377,1,0,3,7,18,25,58,96,100,94,71,53,27,18,9,11,9,1,1,3,1,1,1,0,0,24
戸越公園,347,599,2,0,3,7,19,25,57,95,100,94,71,53,27,19,9,11,9,2,2,3,2,2,2,0,0,24
中延,348,2460,1,0,3,7,19,26,58,96,100,95,71,54,27,19,9,11,10,1,1,3,1,1,1,0,0,24
荏原町,349,784,1,0,3,7,19,26,58,96,100,95,72,53,27,19,8,11,9,1,1,3,1,1,1,0,0,25
旗の台,350,1732,2,2,3,10,19,44,42,92,76,100,78,75,42,54,21,6,8,0,0,2,0,4,0,0,0,36
北千束,351,315,1,0,3,7,19,26,58,96,100,94,72,53,27,19,8,11,9,1,1,3,1,1,1,0,0,24
緑が丘,352,401,1,1,6,18,36,48,81,87,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
九品仏,353,516,1,1,6,18,37,48,81,87,100,77,62,52,32,23,28,14,4,6,7,4,2,2,2,1,0,27
尾山台,354,1190,1,1,6,18,36,48,81,87,100,77,63,52,33,23,28,14,4,5,7,4,2,2,2,1,0,27
等々力,355,1144,1,1,6,18,36,48,81,86,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
上野毛,356,880,1,1,6,18,37,48,81,87,100,77,62,52,32,23,28,15,4,5,7,4,2,2,2,1,0,27
大崎広小路,357,372,1,0,3,7,18,26,58,96,100,95,72,54,27,18,8,11,9,1,1,3,1,1,1,0,0,25
戸越銀座,358,911,1,0,3,7,18,26,57,95,100,94,72,54,27,18,9,11,9,1,1,3,1,1,1,0,0,24
荏原中延,359,606,1,0,3,7,18,25,57,96,100,95,71,53,27,18,8,11,9,1,1,3,1,1,1,0,0,24
長原,360,704,1,0,3,7,19,25,57,96,100,95,72,53,27,19,8,11,9,1,1,3,1,1,1,0,0,24
洗足池,361,838,2,0,3,7,18,26,57,96,100,95,72,54,27,18,8,11,9,2,2,3,2,2,2,0,0,24
石川台,362,678,1,0,3,7,19,25,57,96,100,94,71,53,27,19,8,11,9,1,1,3,1,1,1,0,0,24
雪が谷大塚,363,1120,1,0,3,7,19,25,58,95,100,95,71,54,27,19,9,11,10,1,1,3,1,1,1,0,0,24
御嶽山,364,1197,2,0,3,7,18,25,57,96,100,95,72,54,27,18,9,11,9,2,2,3,2,2,2,0,0,24
久が原,365,726,1,0,3,7,19,26,57,96,100,95,72,53,27,19,8,11,9,1,1,3,1,1,1,0,0,24
千鳥町,366,720,1,0,3,7,19,25,57,95,100,95,71,53,27,19,8,11,10,1,1,3,1,1,1,0,0,24
池上,367,1613,1,0,3,7,19,25,57,95,100,95,71,53,27,19,8,11,9,1,1,3,1,1,1,0,0,24
蓮沼,368,375,1,0,3,7,18,25,57,96,100,94,72,53,28,18,8,11,9,1,1,3,1,1,1,0,0,24
沼部,369,483,1,0,3,7,18,25,57,95,100,95,71,53,27,18,8,11,9,1,1,3,1,1,1,0,0,24
鵜の木,370,880,1,0,3,7,18,26,57,96,100,95,72,53,27,18,8,11,10,1,1,3,1,1,1,0,0,25
下丸子,371,1611,1,0,3,7,18,26,57,95,100,95,72,54,27,18,9,11,9,1,1,3,1,1,1,0,0,24
武蔵新田,372,1170,1,0,3,7,18,25,57,95,100,95,71,54,27,18,8,11,10,1,1,3,1,1,1,0,0,24
矢口渡,373,1131,1,0,3,7,19,25,58,96,100,95,71,54,27,19,9,11,9,1,1,3,1,1,1,0,0,24
西太子堂,374,38,0,0,5,18,36,47,81,86,100,78,63,52,31,23,28,13,2,5,7,2,2,2,2,0,0,26
若林,375,38,0,0,5,18,36,47,81,86,100,78,63,52,31,23,28,13,2,5,7,2,2,2,2,0,0,26
松陰神社前,376,38,0,0,5,18,36,47,81,86,100,78,63,52,31,23,28,13,2,5,7,2,2,2,2,0,0,26
世田谷,377,38,0,0,5,18,36,47,81,86,100,78,63,52,31,23,28,13,2,5,7,2,2,2,2,0,0,26
上町,378,38,0,0,5,18,36,47,81,86,100,78,63,52,31,23,28,13,2,5,7,2,2,2,2,0,0,26
宮の坂,379,38,0,0,5,18,36,47,81,86,100,78,63,52,31,23,28,13,2,5,7,2,2,2,2,0,0,26
山下,380,23,0,0,4,17,34,47,78,86,100,73,60,52,30,21,26,13,4,4,4,4,0,0,0,0,0,26
松原,381,38,0,0,5,18,36,47,81,86,100,78,63,52,31,23,28,13,2,5,7,2,2,2,2,0,0,26
泉岳寺,382,7322,1,1,1,5,11,33,50,65,72,93,100,52,43,30,23,25,9,7,5,4,12,4,7,1,4,15
北品川,383,419,1,0,3,7,18,26,57,96,100,95,72,53,27,18,8,11,10,1,1,3,1,1,1,0,0,24
新馬場,384,736,1,0,3,7,19,25,58,96,100,95,72,54,27,19,8,11,9,1,1,3,1,1,1,0,0,25
青物横丁,385,1875,2,0,3,7,19,26,58,96,100,95,72,54,28,19,9,11,9,2,2,3,2,2,2,0,0,24
鮫洲,386,472,1,0,3,7,18,26,58,95,100,95,72,54,27,18,8,11,9,1,1,3,1,1,1,0,0,25
立会川,387,834,1,0,3,7,18,26,57,95,100,94,71,53,27,18,8,11,9,1,1,3,1,1,1,0,0,24
大森海岸,388,639,1,0,3,7,18,25,58,96,100,94,71,53,28,18,8,11,10,1,1,3,1,1,1,0,0,24
平和島,389,1951,10,1,5,12,52,64,76,97,100,92,58,45,38,44,9,13,0,9,0,0,0,0,11,0,0,11
大森町,390,935,1,0,3,7,19,25,57,96,100,95,71,54,27,19,8,11,9,1,1,3,1,1,1,0,0,24
梅屋敷,391,693,2,0,3,7,19,25,58,96,100,95,72,53,27,19,8,11,9,2,2,3,2,2,2,0,0,24
京急蒲田,392,5315,1,6,1,12,12,29,73,56,100,98,85,72,45,26,13,7,5,6,0,2,9,3,2,7,0,24
雑色,393,1358,1,0,3,7,18,25,58,96,100,95,72,54,27,18,8,11,9,1,1,3,1,1,1,0,0,24
六郷土手,394,691,2,0,3,7,18,25,58,95,100,94,71,53,27,18,8,11,9,2,2,3,2,2,2,0,0,24
糀谷,395,1175,1,0,3,7,18,26,58,96,100,95,72,54,28,18,9,11,9,1,1,3,1,1,1,0,0,24
大鳥居,396,1334,2,0,3,7,19,26,58,96,100,95,72,54,27,19,8,11,9,2,2,3,2,2,2,0,0,24
穴守稲荷,397,816,1,0,3,7,18,25,57,96,100,95,72,54,27,18,8,11,9,1,1,3,1,1,1,0,0,25
天空橋,398,1404,1,0,3,7,19,25,57,96,100,95,72,53,27,19,8,11,9,1,1,3,1,1,1,0,0,24
羽田空港国際線ターミナル,399,1136,2,0,3,7,19,25,58,96,100,95,72,53,27,19,8,11,9,2,2,3,2,2,2,0,0,24
羽田空港国内線ターミナル,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
田原町,401,1574,2,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
稲荷町,402,811,2,0,0,0,5,12,29,54,60,84,100,84,54,40,24,14,9,13,7,4,1,0,0,0,1,15
上野広小路,403,1166,3,0,0,0,5,12,29,54,59,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
末広町,404,1164,3,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
三越前,405,6004,3,0,0,0,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
日本橋,406,9979,4,1,2,5,13,19,55,86,100,90,80,97,71,38,21,14,5,5,6,10,3,4,1,0,0,5
京橋,407,2858,3,0,0,0,5,13,29,54,60,84,100,84,54,41,24,14,8,13,7,4,1,0,0,0,1,15
銀座,408,5231,1,0,0,2,4,7,21,36,51,74,100,72,58,51,45,39,28,12,5,1,2,1,1,0,0,18
虎ノ門,409,5267,3,0,1,1,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
溜池山王,410,1389,2,6,22,0,8,5,25,51,80,93,100,80,60,32,55,29,19,10,12,4,4,12,0,0,0,39
赤坂見附,411,6230,1,2,1,0,2,7,22,42,69,65,100,96,68,61,55,28,14,15,13,6,4,1,0,1,0,6
青山一丁目,412,1877,3,0,1,0,1,1,11,16,91,100,88,95,58,51,36,10,9,4,4,3,3,4,0,0,0,12
外苑前,413,3765,3,0,0,0,5,13,29,54,60,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
表参道,414,6515,1,2,2,5,3,17,34,50,70,79,100,84,76,51,39,30,18,11,11,3,7,3,0,3,1,19
新大塚,415,1185,2,0,0,0,5,12,29,54,60,84,100,84,54,41,23,14,8,14,7,4,1,0,0,0,1,15
茗荷谷,416,3603,2,0,0,0,5,13,30,54,60,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
後楽園,417,4878,3,0,1,1,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
本郷三丁目,418,3611,3,0,0,0,5,13,29,54,60,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
淡路町,419,1896,0,1,0,0,3,58,2,28,52,58,79,66,100,40,13,11,11,14,15,0,0,3,0,11,0,3
大手町,420,15766,3,0,1,1,6,13,30,54,60,85,100,85,55,41,24,15,9,14,8,5,2,0,0,0,2,16
霞ケ関,421,3318,13,8,9,63,30,57,50,50,72,75,78,100,93,42,38,24,16,4,4,14,3,2,0,0,0,19
国会議事堂前,422,7340,3,0,0,0,5,13,30,54,60,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
四谷三丁目,423,2139,2,0,0,0,5,12,29,53,59,84,100,84,54,41,23,14,8,14,7,4,2,0,0,0,2,15
新宿御苑前,424,2454,3,0,0,0,5,12,29,54,59,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
新宿三丁目,425,10996,3,0,1,1,5,13,30,54,60,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
西新宿,426,4067,2,0,0,0,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
中野坂上,427,7067,1,0,1,2,3,38,73,84,46,100,45,36,27,16,10,15,1,0,17,20,2,0,0,0,1,11
新中野,428,1554,0,0,6,7,21,27,59,94,100,89,69,48,27,21,17,13,19,9,3,0,2,2,0,0,0,11
東高円寺,429,1402,1,1,6,18,37,48,80,87,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
新高円寺,430,1469,1,1,6,18,37,48,81,86,100,77,62,52,33,23,28,14,4,5,7,4,2,2,2,1,0,27
南阿佐ケ谷,431,1076,1,1,6,18,36,48,81,86,100,77,62,52,32,23,28,14,4,5,7,4,2,2,2,1,0,27
中野新橋,432,895,0,0,6,7,21,28,58,94,100,90,70,48,27,21,17,13,20,9,3,0,2,2,0,0,0,11
中野富士見町,433,867,0,0,6,7,21,28,59,94,100,89,70,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
方南町,434,1466,1,1,6,18,36,48,80,86,100,77,62,52,32,23,28,14,4,6,7,4,2,2,2,1,0,27
三ノ輪,435,1945,2,0,0,0,5,13,29,54,60,84,100,84,54,40,24,14,8,13,7,4,2,0,0,0,2,15
入谷,436,1609,2,0,0,0,5,12,29,54,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
仲御徒町,437,1958,3,0,0,0,5,12,29,53,59,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
小伝馬町,438,1876,2,0,0,0,5,13,29,53,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
人形町,439,6355,3,0,0,0,5,13,29,54,60,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
茅場町,440,6392,1,3,0,2,11,18,54,56,77,100,89,86,40,26,23,17,11,12,2,3,2,1,0,3,0,13
築地,441,3560,3,0,0,0,5,13,30,54,60,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
東銀座,442,8086,3,0,1,1,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
日比谷,443,6333,1,0,1,1,5,29,35,52,69,93,100,70,64,65,36,32,25,11,6,10,6,3,0,3,4,18
神谷町,444,4658,3,0,0,0,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
六本木,445,11027,3,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
広尾,446,2869,2,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
