name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
高井戸,298,44,111,215,97,695,1316,4789,2604,4050,2683,1526,990,990,1192,184,86,64,808,0,0,0,96,0,0,197,263
富士見ケ丘,299,0,0,78,118,639,1139,2483,2197,2281,1569,1443,807,678,42,127,81,0,84,0,0,280,0,0,56,194,474
久我山,300,116,82,144,286,982,2171,2423,1839,3438,2939,1946,1313,718,172,591,1410,88,64,236,98,44,64,0,98,64,1156
三鷹台,301,91,222,164,614,354,1590,1740,3026,3235,3280,1843,2518,900,312,64,128,440,868,556,0,0,0,248,182,44,174
井の頭公園,302,0,0,74,222,306,1298,677,604,407,426,1030,618,246,274,182,0,84,1386,116,0,0,0,0,0,0,0
南新宿,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
参宮橋,304,0,0,42,118,0,48,0,48,395,404,180,174,119,26,0,48,0,0,0,0,0,0,0,0,0,0
代々木八幡,305,0,0,0,0,44,64,372,104,170,30,84,0,0,0,0,0,40,10,0,140,0,0,0,0,0,60
代々木上原,306,472,534,439,2507,5254,5474,10487,11539,16857,16818,14765,10318,7140,7176,4179,3100,1083,996,2001,169,2374,417,427,665,1396,4794
東北沢,307,0,0,0,0,0,0,0,0,0,118,72,22,22,0,0,362,46,0,0,0,0,0,0,0,0,0
世田谷代田,308,0,0,0,0,64,54,270,772,490,778,1364,118,0,0,56,56,0,0,130,0,0,0,0,0,0,214
梅ケ丘,309,0,0,0,42,286,272,510,522,678,1891,1319,680,252,916,0,0,0,0,0,0,0,0,0,0,0,122
豪徳寺,310,0,0,44,116,94,250,540,1321,1838,1110,834,148,108,42,716,898,30,0,116,168,0,0,0,0,0,100
経堂,311,304,80,137,1368,920,2150,2198,4721,3321,2570,2754,2875,1448,651,1248,383,148,85,216,94,102,34,0,90,68,335
千歳船橋,312,138,58,84,210,930,1837,1621,1472,1313,3027,3025,2313,1747,1955,742,195,146,156,120,98,0,0,130,0,0,158
祖師ケ谷大蔵,313,0,67,507,756,633,624,1393,1727,1154,1837,2652,1068,570,146,60,598,0,426,0,697,794,34,0,0,0,340
成城学園前,314,420,66,953,985,2126,3144,4423,7128,7883,5049,3676,2959,1886,1369,1828,513,914,1050,968,84,0,50,358,160,123,1513
喜多見,315,0,0,466,266,554,856,1352,1424,1386,839,1029,120,346,308,274,0,94,102,38,36,76,0,0,0,66,84
狛江,316,0,194,172,513,748,1762,2516,2735,3271,2214,1121,1086,1018,957,73,656,0,611,371,268,0,0,72,0,136,398
和泉多摩川,317,0,0,257,652,222,371,1235,1180,746,594,714,1360,42,70,136,74,294,0,0,0,0,0,0,0,78,0
鶴川,318,328,820,2378,1534,2697,3670,6155,7256,4352,2832,2187,1536,860,678,362,135,57,192,86,106,145,443,397,479,158,386
玉川学園前,319,240,0,90,769,785,2061,2764,3506,2505,2145,1627,1162,445,424,187,377,844,308,826,90,0,0,24,38,121,569
小田急永山,320,0,0,504,54,112,144,1099,997,1020,438,1572,262,219,129,0,202,0,34,0,120,0,0,0,0,0,262
小田急多摩センター,321,36,52,228,788,686,1638,1536,3908,3262,1066,849,185,393,49,0,392,352,358,162,0,0,32,0,0,170,652
唐木田,322,0,44,32,532,1510,440,872,1318,228,770,284,50,306,74,58,0,0,0,0,0,0,0,0,0,0,0
