name,st_id,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
鷹の台,219,9,5,0,6,6,0,9,9,0,59,44,41,46,27,28,25,14,23,77,29,33,48,20,24,100,47,49,7,19,23,3,3,8,24,6,0,3,0,0,5,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,10,25
新小金井,220,0,0,0,0,0,42,0,29,0,71,0,0,0,0,66,0,73,73,0,100,0,54,0,33,0,0,0,0,42,42,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多磨,221,48,0,0,0,0,0,11,0,92,92,0,0,0,86,0,100,100,0,66,0,86,91,0,68,0,0,0,45,45,0,22,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白糸台,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,100,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
競艇場前,223,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,39,0,0,0,11,11,0,20,8,0,0,0,36,0,18,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
是政,224,0,0,0,0,0,0,7,7,0,19,19,0,0,0,9,0,0,23,0,40,0,26,36,0,100,0,19,0,3,9,0,9,0,0,0,0,9,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京成上野,225,0,0,0,0,0,0,0,0,0,0,0,25,25,0,20,100,64,0,0,0,22,64,64,0,0,0,0,0,0,36,36,74,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
新三河島,226,0,0,0,0,0,0,0,0,0,64,64,0,0,0,0,0,24,48,24,24,0,20,84,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
町屋,227,14,0,0,0,2,0,7,11,13,16,5,4,21,10,15,33,18,77,100,90,59,54,65,34,36,63,16,72,50,42,13,10,45,45,18,21,16,20,16,6,0,0,13,13,16,12,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,10,10,0,0,2,2,0,0,0,7
千住大橋,228,0,0,0,0,0,0,14,10,15,0,0,0,0,0,0,0,15,17,55,88,41,25,12,6,78,100,13,21,11,0,8,0,44,32,17,0,0,13,0,9,39,30,31,31,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
