name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
小竹向原,184,35,25,46,81,214,431,902,1219,1258,1149,1187,1459,746,457,329,207,97,486,218,0,0,0,0,269,49,294
豊島園,185,0,215,107,27,69,61,840,509,117,456,304,53,40,191,13,0,0,0,0,11,0,0,0,0,0,0
西武新宿,186,0,0,0,0,25,42,0,60,23,126,167,47,20,35,0,271,0,0,0,0,0,23,0,0,0,65
下落合,187,0,22,0,0,19,72,97,138,132,353,139,249,26,215,25,0,36,0,0,0,0,0,0,0,0,104
中井,188,0,0,56,0,35,234,33,13,277,483,504,166,91,92,213,216,25,0,110,0,0,0,0,0,0,16
新井薬師前,189,0,23,0,0,31,81,247,47,403,118,57,192,60,0,25,0,216,0,0,0,0,0,0,0,0,0
沼袋,190,46,0,0,44,0,558,185,235,229,247,211,763,296,62,115,0,143,115,24,0,0,0,0,66,25,22
野方,191,38,0,67,325,251,59,161,284,369,407,91,172,17,0,30,23,0,493,0,0,29,0,0,0,0,15
都立家政,192,0,0,26,77,67,117,1083,351,339,140,394,272,63,0,0,0,261,0,0,0,0,46,0,0,0,0
鷺ノ宮,193,70,0,87,19,250,382,1001,1072,1471,674,443,508,252,835,223,18,0,351,0,486,0,53,0,0,0,716
下井草,194,0,0,67,497,178,106,441,193,1005,99,330,318,114,18,25,212,0,0,0,0,19,0,31,0,0,312
井荻,195,0,0,50,99,183,42,571,453,476,224,626,37,47,57,267,23,0,0,0,0,22,19,0,0,0,0
上井草,196,58,0,116,134,41,29,408,263,295,332,206,201,0,41,35,0,0,0,56,0,0,0,0,0,0,0
上石神井,197,18,286,119,992,653,1118,406,1756,1454,1451,856,894,492,400,68,34,303,367,0,125,0,0,0,0,101,501
武蔵関,198,33,28,0,133,324,297,448,806,918,714,422,267,131,57,45,169,0,0,0,0,0,0,0,0,0,159
東伏見,199,0,0,69,167,179,177,923,368,299,300,220,74,41,36,0,173,0,0,0,0,0,0,26,0,0,256
西武柳沢,200,0,0,358,155,130,78,921,341,443,118,453,44,41,0,59,56,0,0,23,0,0,0,0,36,0,176
田無,201,87,316,85,2030,1630,1513,2232,1666,1324,1012,1163,644,519,244,100,0,422,259,0,0,15,0,0,33,0,952
花小金井,202,56,0,489,669,942,1078,2831,2347,2099,1443,620,588,685,154,0,224,141,366,14,18,0,0,20,0,136,169
小平,203,81,23,158,350,985,935,1162,1422,4987,2845,739,1994,307,206,138,172,0,184,271,0,0,685,0,0,0,429
久米川,204,59,90,60,236,710,653,695,702,954,295,189,100,39,27,0,0,28,60,36,0,0,0,0,0,0,120
東村山,205,0,119,118,326,226,778,732,2005,1795,1957,1441,918,858,210,220,0,52,404,112,15,190,81,26,0,161,291
西武園,206,0,0,0,44,36,106,22,52,32,137,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
萩山,207,0,70,10,84,43,175,365,355,1028,883,270,60,0,93,0,0,42,234,0,226,0,0,0,0,0,454
小川,208,133,78,380,183,496,995,972,772,1232,839,418,185,219,79,0,157,0,0,0,105,0,0,0,0,0,25
東大和市,209,0,222,52,309,326,419,180,498,208,272,26,18,116,0,104,0,0,0,0,0,0,0,0,0,0,19
玉川上水,210,155,214,314,243,2152,1619,876,3089,531,1199,641,139,268,330,144,271,93,38,0,296,0,0,0,0,0,177
武蔵砂川,211,0,0,157,218,17,255,15,1045,180,54,24,0,0,0,44,0,0,0,0,22,0,0,0,0,0,22
西武立川,212,0,41,0,48,68,80,519,0,574,43,0,0,28,0,0,0,0,0,0,0,560,0,0,0,0,0
一橋学園,213,26,0,32,267,58,420,621,618,508,689,193,145,254,250,0,0,0,0,0,0,27,0,271,0,0,33
青梅街道,214,0,51,47,0,129,165,0,90,0,111,107,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0
八坂,215,0,0,32,0,85,292,155,235,54,278,204,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0
武蔵大和,216,0,0,98,138,160,409,309,156,43,84,0,0,0,56,0,29,0,0,0,0,0,0,0,0,0,46
西武遊園地,217,0,0,0,237,53,23,113,20,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
恋ケ窪,218,0,0,0,52,83,130,528,345,151,226,109,41,0,0,57,28,0,0,0,21,0,0,0,0,0,29
鷹の台,219,64,38,0,257,397,283,919,481,855,262,97,149,64,0,43,0,0,0,0,0,171,0,0,0,72,128
新小金井,220,0,0,50,120,0,79,87,204,0,0,50,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
多磨,221,254,0,82,35,0,254,270,125,119,0,198,0,35,50,0,0,0,0,0,0,34,0,0,0,0,0
白糸台,222,0,0,0,0,0,90,1323,50,0,0,25,0,16,53,0,0,0,0,0,0,0,0,0,0,0,0
競艇場前,223,0,0,0,0,32,35,0,38,100,0,64,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
是政,224,0,0,0,39,50,0,68,202,512,50,47,50,50,104,41,0,0,0,0,0,0,0,0,0,0,0
京成上野,225,0,0,0,0,0,32,0,17,0,80,15,0,51,0,0,0,48,0,216,0,0,0,0,0,0,41
