name,st_id,passengers,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
上野毛,356,341,5,0,1,2,7,2,9,13,17,14,30,21,32,39,48,41,68,58,73,75,100,76,84,83,80,63,77,63,53,46,61,56,44,31,25,26,30,15,15,30,38,19,19,14,7,12,0,8,0,7,1,4,7,4,3,7,4,0,2,1,1,3,0,2,0,7,0,0,4,4,0,0,0,65
大崎広小路,357,150,4,0,0,1,0,4,4,4,8,8,12,4,22,12,18,28,46,38,56,68,79,89,100,77,82,93,89,83,71,46,62,56,36,32,20,26,20,24,10,10,6,10,10,10,6,10,18,0,0,0,1,0,0,1,1,6,6,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,50
戸越銀座,358,368,3,0,0,1,0,3,3,4,8,8,11,3,22,11,17,28,45,38,55,67,78,88,100,76,82,92,88,82,70,46,61,55,35,32,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,50
荏原中延,359,245,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,38,55,67,78,88,100,76,82,93,88,82,71,46,61,55,35,31,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,49
長原,360,284,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,39,55,67,78,89,100,77,82,92,89,83,71,46,61,55,35,32,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,50
洗足池,361,339,3,0,0,1,0,3,3,5,8,8,11,3,21,11,17,28,45,38,55,67,78,88,100,76,82,92,88,82,70,46,61,55,35,31,20,26,20,23,10,10,5,10,10,10,5,10,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,49
石川台,362,274,4,0,0,1,0,4,4,4,8,8,11,4,21,11,17,28,45,38,55,67,78,88,100,77,81,93,88,82,70,46,61,55,35,31,20,27,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,50
雪が谷大塚,363,452,3,0,0,1,0,3,3,4,9,9,11,3,21,11,17,28,46,38,55,67,78,89,100,76,82,93,89,82,71,46,61,55,35,32,21,26,21,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,50
御嶽山,364,484,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,38,55,67,78,88,100,76,82,92,88,82,70,46,61,55,35,32,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,50
久が原,365,293,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,29,45,38,55,67,78,89,100,77,81,93,89,82,70,46,62,55,35,32,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,3,3,0,0,1,3,0,0,0,1,0,1,1,49
千鳥町,366,291,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,38,55,67,78,89,100,76,81,92,89,82,70,46,61,55,35,31,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,49
池上,367,655,0,0,11,0,0,7,7,52,77,32,8,31,54,42,28,21,13,56,80,45,98,86,57,69,100,66,51,65,58,40,24,0,13,10,33,12,20,15,21,24,2,6,6,9,11,5,2,0,0,6,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,64
蓮沼,368,151,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,39,55,68,78,89,100,76,82,93,89,83,70,47,62,55,35,31,20,27,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,49
沼部,369,195,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,38,55,67,78,88,100,76,82,92,88,83,70,46,62,55,35,31,21,26,21,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,3,3,0,0,1,3,0,0,0,1,0,1,1,49
